code,name
AGH,Ardleigh Green & Havering AB
BAP,Basildon & Pitsea
BEA,Beaulieu Park
BEN,Bentley
BFL,Benfleet
BOR,Boreham Royals
BRE,Brentwood
BRF,Broomfield
BRO,Brookweald
BRX,Boreham & Roxwell
CHI,Chignal
CSK,Chelmsford Super Kings
CTI,Chelmsford Titans
CWR,Canary Wharf Royals
DAN,Danbury
EAS,Eastwood
EHG,East Hann & Gt Burstead
EPF,Epping Foresters
GAL,Galleywood
GBA,Great Baddow
GTO,Great Totham
GWA,Great Waltham
GWK,Great Wakering
HIE,High Easter
HOH,Horndon-on-the-Hill
HRO,High Roding
HUT,Hutton
IGF,Ingatestone & Fryerning
ILC,Ilford Catholic
LBA,Little Baddow
NAV,Navestock
OAK,Oaklands
OCH,Old Chelmsfordians
PUR,Purleigh
RAF,Rayleigh Fairview
RAN,Rankins
RAY,Rayleigh
RET,Rettendon
SJB,St Johns Billericay
SLO,South Loughton
SOS,Southend on Sea EMT
SPM,Springfield ME
STA,St Andrews
STO,Stock
SWB,South Woodham & Burnham
SWE,South Weald
TER,Terling
THB,Theydon Bois
TIL,Tillingham
UPM,Upminster
WIL,Willow Herbs
WMO,Woodham Mortimer
WRI,Writtle
