Premier,BAP1,GWA1,HRO1,IGF1,LBA1,RET1,SLO1,SPM1,TER1,TIL1
Div 1,BEA1,EHG1,GTO1,HAP1,ILC1,OCH1,RAY1,SOS1,SWB1,STO1
Div 2,AGH1,BRO1,BRF1,EPF1,GAL1,GBA1,PUR1,SWE1,THB1,WRI1
Div 3,BAP2,BOR1,EAS1,GWK1,GWA2,HIE1,NAV1,RAN1,SPM2,WMO1
Div 4,BRX1,CWR1,CSK1,CTI1,GTO2,HRO2,OCH2,RAY2,STO2,WIL1
Div 5,AGH2,BEA2,GAL2,HOH1,LBA2,RAF1,RET2,SWB2,STA1,SJB1
Div 6,BAP3,DAN1,EPF2,ILC2,RAY3,SWE2,SOS2,SPM3,THB2,TIL2
Div 7,BAP4,BEN1,BOR2,BRO2,EHG2,EAS2,GBA2,ILC3,IGF2,TER2
Div 8,AGH3,BRF2,CHI1,HOH2,OCH3,SLO2,SJB2,SWB3,WMO2,WRI2
Div 9,BAP5,BRE1,CSK2,GAL3,HAP2,HUT1,NAV2,OCH4,SOS3,UPM1
Div 10,BFL1,GTO3,HOH3,ILC4,RAN2,RAY4,RAF2,SOS4,UPM2,WIL2
Div 11,BRX2,BRE2,EAS3,GAL4,GWA3,HUT2,OAK1,OCH5,RAY5,SLO3
Div 12,BAP6,BEL1,BFL2,GBA3,GTO4,IGF3,RAY6,SPM4,SWB4,TIL3
