# Generated with seed: 465365
game_week,home_team,away_team,division
1,HAP1,GTO1,Div 1
1,OCH1,BEA1,Div 1
1,SOS1,ILC1,Div 1
1,STO1,RAY1,Div 1
1,SWB1,EHG1,Div 1
1,BFL1,ILC4,Div 10
1,RAF2,WIL2,Div 10
1,RAN2,SOS4,Div 10
1,RAY4,GTO3,Div 10
1,UPM2,HOH3,Div 10
1,BRE2,GAL4,Div 11
1,BRX2,SLO3,Div 11
1,EAS3,RAY5,Div 11
1,OAK1,HUT2,Div 11
1,OCH5,GWA3,Div 11
1,BRF1,AGH1,Div 2
1,BRO1,SWE1,Div 2
1,GAL1,THB1,Div 2
1,GBA1,PUR1,Div 2
1,WRI1,EPF1,Div 2
1,BOR1,WMO1,Div 3
1,EAS1,RAN1,Div 3
1,GWA2,BAP2,Div 3
1,HIE1,GWK1,Div 3
1,NAV1,SPM2,Div 3
1,CTI1,OCH2,Div 4
1,GTO2,CWR1,Div 4
1,HRO2,CSK1,Div 4
1,RAY2,BRX1,Div 4
1,WIL1,STO2,Div 4
1,AGH2,RAF1,Div 5
1,BEA2,GAL2,Div 5
1,RET2,HOH1,Div 5
1,SJB1,LBA2,Div 5
1,STA1,SWB2,Div 5
1,EPF2,SPM3,Div 6
1,ILC2,RAY3,Div 6
1,SWE2,SOS2,Div 6
1,THB2,BAP3,Div 6
1,TIL2,DAN1,Div 6
1,BAP4,EAS2,Div 7
1,BEN1,TER2,Div 7
1,EHG2,GBA2,Div 7
1,IGF2,BRO2,Div 7
1,ILC3,BOR2,Div 7
1,CHI1,AGH3,Div 8
1,HOH2,SJB2,Div 8
1,OCH3,BRF2,Div 8
1,SWB3,WRI2,Div 8
1,WMO2,SLO2,Div 8
1,BAP5,OCH4,Div 9
1,CSK2,HAP2,Div 9
1,GAL3,UPM1,Div 9
1,HUT1,BRE1,Div 9
1,SOS3,NAV2,Div 9
1,BAP1,GWA1,Premier
1,LBA1,TIL1,Premier
1,SLO1,HRO1,Premier
1,SPM1,IGF1,Premier
1,TER1,RET1,Premier
2,BEA1,SWB1,Div 1
2,GTO1,OCH1,Div 1
2,ILC1,STO1,Div 1
2,RAY1,EHG1,Div 1
2,SOS1,HAP1,Div 1
2,GTO3,RAF2,Div 10
2,HOH3,RAN2,Div 10
2,ILC4,UPM2,Div 10
2,RAY4,BFL1,Div 10
2,SOS4,WIL2,Div 10
2,EAS3,OAK1,Div 11
2,GWA3,BRE2,Div 11
2,HUT2,OCH5,Div 11
2,RAY5,BRX2,Div 11
2,SLO3,GAL4,Div 11
2,EPF1,SWE1,Div 2
2,GAL1,BRF1,Div 2
2,GBA1,BRO1,Div 2
2,PUR1,WRI1,Div 2
2,THB1,AGH1,Div 2
2,GWK1,BOR1,Div 3
2,NAV1,BAP2,Div 3
2,RAN1,HIE1,Div 3
2,SPM2,GWA2,Div 3
2,WMO1,EAS1,Div 3
2,BRX1,CWR1,Div 4
2,CSK1,RAY2,Div 4
2,OCH2,GTO2,Div 4
2,STO2,CTI1,Div 4
2,WIL1,HRO2,Div 4
2,AGH2,GAL2,Div 5
2,HOH1,SJB1,Div 5
2,LBA2,BEA2,Div 5
2,RAF1,STA1,Div 5
2,SWB2,RET2,Div 5
2,BAP3,SOS2,Div 6
2,DAN1,ILC2,Div 6
2,SPM3,RAY3,Div 6
2,SWE2,EPF2,Div 6
2,TIL2,THB2,Div 6
2,BOR2,BEN1,Div 7
2,BRO2,TER2,Div 7
2,EAS2,GBA2,Div 7
2,EHG2,ILC3,Div 7
2,IGF2,BAP4,Div 7
2,AGH3,SWB3,Div 8
2,BRF2,WMO2,Div 8
2,SJB2,CHI1,Div 8
2,SLO2,HOH2,Div 8
2,WRI2,OCH3,Div 8
2,BRE1,CSK2,Div 9
2,GAL3,BAP5,Div 9
2,HAP2,NAV2,Div 9
2,OCH4,SOS3,Div 9
2,UPM1,HUT1,Div 9
2,BAP1,IGF1,Premier
2,GWA1,SLO1,Premier
2,HRO1,SPM1,Premier
2,RET1,LBA1,Premier
2,TER1,TIL1,Premier
3,EHG1,GTO1,Div 1
3,HAP1,ILC1,Div 1
3,OCH1,STO1,Div 1
3,RAY1,BEA1,Div 1
3,SWB1,SOS1,Div 1
3,BFL1,SOS4,Div 10
3,ILC4,RAY4,Div 10
3,RAF2,RAN2,Div 10
3,UPM2,GTO3,Div 10
3,WIL2,HOH3,Div 10
3,GAL4,HUT2,Div 11
3,GWA3,RAY5,Div 11
3,OAK1,BRX2,Div 11
3,OCH5,BRE2,Div 11
3,SLO3,EAS3,Div 11
3,AGH1,PUR1,Div 2
3,EPF1,GAL1,Div 2
3,SWE1,GBA1,Div 2
3,THB1,BRF1,Div 2
3,WRI1,BRO1,Div 2
3,BAP2,GWK1,Div 3
3,BOR1,SPM2,Div 3
3,GWA2,NAV1,Div 3
3,HIE1,EAS1,Div 3
3,RAN1,WMO1,Div 3
3,BRX1,OCH2,Div 4
3,CTI1,WIL1,Div 4
3,CWR1,RAY2,Div 4
3,GTO2,HRO2,Div 4
3,STO2,CSK1,Div 4
3,BEA2,SWB2,Div 5
3,GAL2,SJB1,Div 5
3,LBA2,AGH2,Div 5
3,RET2,RAF1,Div 5
3,STA1,HOH1,Div 5
3,BAP3,DAN1,Div 6
3,ILC2,SWE2,Div 6
3,RAY3,EPF2,Div 6
3,SOS2,TIL2,Div 6
3,SPM3,THB2,Div 6
