1st XI Premier,BRE1,BUC1,CHE1,CHI1,COL1,HAD1,HOR1,HUT1,LOU1,WAN1
1st XI Div 1,BEL1,BIL1,EPP1,FIV1,GPR1,HAW1,ILF1,ORS1,SPR1,UPM1
1st XI Div 2,AZT1,GOR1,HOH1,OBR1,OPA1,OSS1,SHE1,WGR1,WOS1,WWE1
1st XI Div 3,BAR1,BEN1,BNT1,HAR1,HAT1,LOS1,NEW1,SLH1,WES1,WIC1
2nd XI Premier,BIL2,CHE2,CHI2,EPP2,HAW2,HOR2,ILF2,SHE2,UPM2,WAN2
2nd XI Div 1,BRE2,BUC2,GPR2,HAR2,HUT2,LOU2,OPA2,ORS2,SWD2,WWE2
2nd XI Div 2,BEN2,COL2,FIV2,HAD2,OBR2,OSS2,SLH2,WES2,WIC2,WOS2
2nd XI Div 3,BEL2,FRE2,GOR2,HAT2,HOH2,LOS2,NEW2,SOS2,WAL2,WGR2
3rd XI Premier,BRE3,CHE3,HAR3,HAW3,ILF3,SHE3,UPM3,WAN3,WES3,WWE3
3rd XI Div 1,CHI3,FRE3,GPR3,HAT3,HOR3,HUT4,OPA3,ORS3,SWF3,UPM3
3rd XI Div 2,BEN3,BIL3,BRE4,BUC3,CHE4,FIV3,HAR4,HAW4,LOU3,WIC3
3rd XI Div 3,BEL3,BUC4,EPP3,HOH3,OBR3,OSS3,SLH3,WAL3,WAN4,WES3
4th XI Prem East,BEN4,BIL4,HOH4,HUT4,LOS3,LOS4,ORS4,SHE4,SOS3,WOS4
4th XI Prem West,CHI4,FIV4,FRE4,ILF4,LOU4,OPA4,UPM5,WAL4,WES4,WGR4
4th XI Div 1 East,BIL5,CHE5,HAD4,HAW5,HOR4,ORS5,ORS6,SLH4,WIC4,WOS5
4th XI Div 1 West,BEL4,FRE5,GOR3,GPR4,NEW3,OPA5,SWF4,WAL5,WAN5,WAN6
4th XI Div 2 East,BEN5,BRE6,HOH5,HOR5,HUT5,OSS4,OSS5,SHE5,SOS4,WIC5
4th XI Div 2 West,BAR3,BEL5,BRE5,HAW6,ILF5,NEW4,ORS7,RED3,RED4,UPM6
